folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0001.JPG,D:\drone\DCIM\109MEDIA\DJI_0001.JPG,-49.347194361111114,-27.39575536111111,553.759,2026:03:01 15:38:42
109MEDIA,DJI_0002.JPG,D:\drone\DCIM\109MEDIA\DJI_0002.JPG,-49.34719363888889,-27.395756416666668,553.759,2026:03:01 15:38:44
109MEDIA,DJI_0003.JPG,D:\drone\DCIM\109MEDIA\DJI_0003.JPG,-49.34719341666667,-27.395759527777777,553.659,2026:03:01 15:38:46
109MEDIA,DJI_0004.JPG,D:\drone\DCIM\109MEDIA\DJI_0004.JPG,-49.34718986111111,-27.3957615,557.359,2026:03:01 15:38:48
109MEDIA,DJI_0005.JPG,D:\drone\DCIM\109MEDIA\DJI_0005.JPG,-49.347190250000004,-27.39576222222222,562.759,2026:03:01 15:38:50
109MEDIA,DJI_0006.JPG,D:\drone\DCIM\109MEDIA\DJI_0006.JPG,-49.34718894444445,-27.395761611111112,563.859,2026:03:01 15:38:52
109MEDIA,DJI_0007.JPG,D:\drone\DCIM\109MEDIA\DJI_0007.JPG,-49.347188333333335,-27.39576175,563.959,2026:03:01 15:38:54
109MEDIA,DJI_0008.JPG,D:\drone\DCIM\109MEDIA\DJI_0008.JPG,-49.347188555555555,-27.395762027777778,563.959,2026:03:01 15:38:56
109MEDIA,DJI_0009.JPG,D:\drone\DCIM\109MEDIA\DJI_0009.JPG,-49.34718936111111,-27.395763638888887,563.959,2026:03:01 15:38:58
109MEDIA,DJI_0010.JPG,D:\drone\DCIM\109MEDIA\DJI_0010.JPG,-49.347150472222225,-27.395794444444444,563.959,2026:03:01 15:39:00
109MEDIA,DJI_0011.JPG,D:\drone\DCIM\109MEDIA\DJI_0011.JPG,-49.34709344444445,-27.395832833333333,563.959,2026:03:01 15:39:02
109MEDIA,DJI_0012.JPG,D:\drone\DCIM\109MEDIA\DJI_0012.JPG,-49.347092861111115,-27.395833472222222,563.859,2026:03:01 15:39:04
109MEDIA,DJI_0013.JPG,D:\drone\DCIM\109MEDIA\DJI_0013.JPG,-49.34709325,-27.395836305555555,563.859,2026:03:01 15:39:06
109MEDIA,DJI_0014.JPG,D:\drone\DCIM\109MEDIA\DJI_0014.JPG,-49.34709547222222,-27.39583786111111,563.959,2026:03:01 15:39:08
109MEDIA,DJI_0015.JPG,D:\drone\DCIM\109MEDIA\DJI_0015.JPG,-49.347133944444444,-27.395871055555556,563.959,2026:03:01 15:39:10
